"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"jYia13i0CBwNXadzAAxLJg","8814 4th Ave","Brazilian","{""latitude"":{""N"":""40.62106""},""longitude"":{""N"":""-74.02927""}}","2021-10-12 16:10:16","Arirang Hibachi Steakhouse","3.5","3.5","11209"
"29eekLV2Srr_H5Ihn4K8Yw","90 W Palisade Ave","Brazilian","{""latitude"":{""N"":""40.8966616961043""},""longitude"":{""N"":""-73.9817560016196""}}","2021-10-12 16:10:15","Noches de Colombia","3.5","3.5","07631"
"h38J9rb8ozH2n1E23tU0Zg","250 Main Ave","Brazilian","{""latitude"":{""N"":""40.8557152""},""longitude"":{""N"":""-74.106899""}}","2021-10-12 16:10:16","Kathie & Glenn's Steakhouse","4","4","07057"
"RYbH4A_C4fYLD91Uk_3MiQ","32-17 Steinway St","Brazilian","{""latitude"":{""N"":""40.758558161287""},""longitude"":{""N"":""-73.9192748442292""}}","2021-10-12 16:10:05","Basurero","2.5","2.5","11103"
"5iciHq6BV3hOKpxTXKEzVA","33-18 28th Ave","Brazilian","{""latitude"":{""N"":""40.7672""},""longitude"":{""N"":""-73.91799""}}","2021-10-12 16:09:59","Favela Grill","4","4","11103"
"2DrdQ-tgNrmET0Vm3RATvw","182 Wilson Ave","Brazilian","{""latitude"":{""N"":""40.7222""},""longitude"":{""N"":""-74.15036""}}","2021-10-12 16:10:22","Marmitaria Saudável","5","5","07105"
"sqTPK6Ns5-_ZoczUC4JWJQ","43-16 Greenpoint Ave","Brazilian","{""latitude"":{""N"":""40.74095""},""longitude"":{""N"":""-73.92146""}}","2021-10-12 16:10:06","I Love Paraguay","4.5","4.5","11104"
"NH0B65czF0fDmVsDUuzw8A","1270 Broadway","Brazilian","{""latitude"":{""N"":""40.74888""},""longitude"":{""N"":""-73.98793""}}","2021-10-12 16:10:05","Carnaval","3","3","10018"
"fiNNzhD1BRLP8iA1r3m2Cg","440 9th Ave","Brazilian","{""latitude"":{""N"":""40.75367""},""longitude"":{""N"":""-73.99549""}}","2021-10-12 16:10:16","Uncle Jack's Steakhouse - Westside","3.5","3.5","10001"
"0zs4uAqqSnS9iE7ZYZYKFQ","141 Schuyler Ave","Brazilian","{""latitude"":{""N"":""40.75377""},""longitude"":{""N"":""-74.14572""}}","2021-10-12 16:10:15","Brazilian Spices","3.5","3.5","07032"
"Cfl0OoiP6WF5Wuzywpxmfg","241 Bowery","Brazilian","{""latitude"":{""N"":""40.722502""},""longitude"":{""N"":""-73.992786""}}","2021-10-12 16:10:11","Hay Salsa","4","4","10002"
"PcXQm5RXbNZP2GQKHu0QNQ","31-90 30th St","Brazilian","{""latitude"":{""N"":""40.762659""},""longitude"":{""N"":""-73.9261018""}}","2021-10-12 16:09:58","Pao De Queijo","4","4","11106"
"MClR2b4nja19Pxbe6Ng1oA","531 Nostrand Ave","Brazilian","{""latitude"":{""N"":""40.67914""},""longitude"":{""N"":""-73.94949""}}","2021-10-12 16:10:15","SoBol Bedford-Stuyvesant","4.5","4.5","11216"
