"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"ykXZyQBXxoOMoZfaZMnHmg","4740 Broadway","British","{""latitude"":{""N"":""40.8649821372469""},""longitude"":{""N"":""-73.927843119049""}}","2021-10-12 15:52:21","Tryon Public House","4","4","10040"
"t_IXO90SSJz4pt5GLD2lTA","732 8th Ave","British","{""latitude"":{""N"":""40.75933""},""longitude"":{""N"":""-73.98793""}}","2021-10-12 15:52:28","Playwright Celtic Pub","3","3","10036"
"xTq-F5nRIOV494iKQJxWeA","203 E 45th St","British","{""latitude"":{""N"":""40.75271""},""longitude"":{""N"":""-73.9726""}}","2021-10-12 15:52:33","The Perfect Pint","3.5","3.5","10017"
"XAltgdIxnXF3iaNgWhb5ZA","109 E 22nd St","British","{""latitude"":{""N"":""40.73977538644137""},""longitude"":{""N"":""-73.986388401965""}}","2021-10-12 15:52:46","Hawksmoor","4.5","4.5","10010"
"'-SM_BQ5jiqvot_kl7RKoaQ","232 Willow Ave","British","{""latitude"":{""N"":""40.7405885173001""},""longitude"":{""N"":""-74.033968783915""}}","2021-10-12 15:52:34","Zack's Oak Bar & Restaurant","4","4","07030"
"n7LwEbf0zsMapAcUtyyeVA","811 9th Ave","British","{""latitude"":{""N"":""40.765861""},""longitude"":{""N"":""-73.987418""}}","2021-10-12 15:52:57","Medi Winebar & Restaurant","3.5","3.5","10019"
"5mJgmAgKpTbCDdpVs7OFxQ","523 3rd Ave","British","{""latitude"":{""N"":""40.7462""},""longitude"":{""N"":""-73.9774599""}}","2021-10-12 15:52:46","Ted's Corner Tavern","4.5","4.5","10016"
"La0m0JQirzld8XSyyf37tg","923 8th Ave","British","{""latitude"":{""N"":""40.765356""},""longitude"":{""N"":""-73.984113""}}","2021-10-12 15:52:46","Barcelona Bar","4","4","10019"
"zDujEq9qZk13nBcG2PH4tA","21-50 44th Dr","British","{""latitude"":{""N"":""40.7476595714373""},""longitude"":{""N"":""-73.9455319123659""}}","2021-10-12 15:52:47","Il Falco","4.5","4.5","11101"
"veku2cg2qaV-7MxwhOMBmg","38 W 56th St","British","{""latitude"":{""N"":""40.7629158108786""},""longitude"":{""N"":""-73.9761248066812""}}","2021-10-12 15:52:20","Judge Roy Bean Public House","4.5","4.5","10019"
"GCAQmtRdNhqVit5KGJ46Qg","47 E Houston St","British","{""latitude"":{""N"":""40.724759""},""longitude"":{""N"":""-73.994728""}}","2021-10-12 15:52:28","Estela","4","4","10012"
"Ur9wsKwGEDG2nT8t3jv8Ag","375 3rd Ave","British","{""latitude"":{""N"":""40.74138""},""longitude"":{""N"":""-73.98107""}}","2021-10-12 15:52:58","The Gem Saloon","4","4","10016"
"3p_qnoOpDu4svcnwoXPljA","1048 Bedford Ave","British","{""latitude"":{""N"":""40.6890943""},""longitude"":{""N"":""-73.95526006502993""}}","2021-10-12 15:52:27","Black Swan","3.5","3.5","11205"
"234C99-QPpEDnUZ3yWnukw","241 W 14th St","British","{""latitude"":{""N"":""40.73952""},""longitude"":{""N"":""-74.00124""}}","2021-10-12 15:52:46","Norwood Club","4","4","10011"
"PldbjkxtHmWC2QVyV5dAbQ","228 W 4th St","British","{""latitude"":{""N"":""40.7340642""},""longitude"":{""N"":""-74.003069""}}","2021-10-12 15:52:46","Wilfie & Nell","3.5","3.5","10014"
"Rbm8W3kgisxD0KVk_HKIBw","34 E 4th St","British","{""latitude"":{""N"":""40.727309""},""longitude"":{""N"":""-73.992387""}}","2021-10-12 15:52:27","Swift","4","4","10003"
"Z65cd3Z7JvwK8TnSVg-cfA","246 W 38th St","British","{""latitude"":{""N"":""40.75409""},""longitude"":{""N"":""-73.99039""}}","2021-10-12 15:52:34","District Tap House","4","4","10018"
"2Mia4J1QKd247oh2IkuEdg","47 Stone St","British","{""latitude"":{""N"":""40.7043756""},""longitude"":{""N"":""-74.0105259""}}","2021-10-12 15:52:33","The Cauldron NYC","4","4","10004"
"PxyxNj43WSDjRF588HFJdQ","488 Driggs Ave","British","{""latitude"":{""N"":""40.71852""},""longitude"":{""N"":""-73.95504""}}","2021-10-12 15:52:21","The Craic","4","4","11211"
"oLA02lMIfgvbYquvXzkARw","249 W 49th St","British","{""latitude"":{""N"":""40.7614625""},""longitude"":{""N"":""-73.9860519""}}","2021-10-12 15:52:20","Lillie's Victorian Establishment","4","4","10019"
"zDkwJeNcNU251vmi2EeANg","264 Grove St","British","{""latitude"":{""N"":""40.7171775955244""},""longitude"":{""N"":""-74.0442452984261""}}","2021-10-12 15:52:28","Frankie","4","4","07302"
"Cz6It2NB_QBXCjnlsWGZSA","5 Ave A","British","{""latitude"":{""N"":""40.722520164329694""},""longitude"":{""N"":""-73.98635991078673""}}","2021-10-12 15:52:58","Boulton & Watt","4","4","10009"
"oYIdKuDLo54U4lN72NqWkg","848 Washington St","British","{""latitude"":{""N"":""40.740829""},""longitude"":{""N"":""-74.008071""}}","2021-10-12 15:52:57","The Standard Grill","3.5","3.5","10014"
