"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"uaFHoq-a5XqxF-bsOK9_Qg","811 8th Ave","Chinese","{""latitude"":{""N"":""40.7616286634162""},""longitude"":{""N"":""-73.98688""}}","2021-10-12 14:17:43","Real Kung Fu Little Steamed Buns Ramen","3.5","3.5","10019"
"IhSVn0TaX8xXb3wcQ-fgcA","118A Eldridge St","Chinese","{""latitude"":{""N"":""40.71839""},""longitude"":{""N"":""-73.9917399""}}","2021-10-12 14:19:20","Vanessa's Dumpling House","4","4","10002"
"FXhSEZfIqjMZh4hR0_8jMQ","360 W 42nd Street","Chinese","{""latitude"":{""N"":""40.7582902125633""},""longitude"":{""N"":""-73.9925113993899""}}","2021-10-12 14:15:56","China Xiang 中国湘","4","4","10036"
"HDoJIH-qW9FqJ5WB-bKTqA","1109 Lexington Ave","Chinese","{""latitude"":{""N"":""40.7738""},""longitude"":{""N"":""-73.95945""}}","2021-10-12 14:26:56","MIGHTY Bowl","4.5","4.5","10075"
"BtsXojrMtfLRhhFK7rm35A","1007 50th Ave","Chinese","{""latitude"":{""N"":""40.742827""},""longitude"":{""N"":""-73.953575""}}","2021-10-12 14:26:54","Hupo琥珀","4.5","4.5","11101"
"NebgteFykeM1gwiVgPcCHw","3600 Broadway","Chinese","{""latitude"":{""N"":""40.828384""},""longitude"":{""N"":""-73.948674""}}","2021-10-12 14:19:19","The Handpulled Noodle","4","4","10031"
"XaEFFUabnbH8ZF7ccmSAlQ","16 W 8th St","Chinese","{""latitude"":{""N"":""40.73264""},""longitude"":{""N"":""-73.99752""}}","2021-10-12 14:17:44","South Of The Clouds","4","4","10011"
"01m-oqxaCifh0s0eU03bBg","493 2nd Ave","Chinese","{""latitude"":{""N"":""40.74094""},""longitude"":{""N"":""-73.97891""}}","2021-10-12 14:26:56","Asia Express","3","3","10016"
"4UaeyfC4XYi-Dibn053xzQ","610 Amsterdam Ave","Chinese","{""latitude"":{""N"":""40.80019842750732""},""longitude"":{""N"":""-73.96613205041436""}}","2021-10-12 14:25:58","Uncle Luoyang","5","5","10024"
"oJjMYhA6z1_BVaQpSdyl8g","353 Grand St","Chinese","{""latitude"":{""N"":""40.7167""},""longitude"":{""N"":""-73.98945""}}","2021-10-12 14:25:58","Golden Forest","4","4","10002"
"nI1UYDCYUTt23TpGxqnLKg","75 9th Ave","Chinese","{""latitude"":{""N"":""40.7422762672197""},""longitude"":{""N"":""-74.0048000961542""}}","2021-10-12 14:17:42","Buddakan","4","4","10011"
"k8GFfCXO2FIIJIo0ICYSRA","106 Greenwich St","Chinese","{""latitude"":{""N"":""40.70854""},""longitude"":{""N"":""-74.01367""}}","2021-10-12 14:26:06","Bao Bao Cafe","4","4","10006"
"wzmeaMTm5cZ1JCjep7iQeA","219 E 23rd St","Chinese","{""latitude"":{""N"":""40.73852""},""longitude"":{""N"":""-73.98201""}}","2021-10-12 14:26:56","ZLS BBQ","4","4","10010"
"Qgv2vyUV-DwK8YwrhU-jtw","128 W 36th St","Chinese","{""latitude"":{""N"":""40.7517141867087""},""longitude"":{""N"":""-73.9883603449123""}}","2021-10-12 14:17:44","Lan Sheng Restaurant","4","4","10018"
"4FD0TAxe70nb3ngk3sXF9Q","152 2nd Ave","Chinese","{""latitude"":{""N"":""40.7293403""},""longitude"":{""N"":""-73.9866071""}}","2021-10-12 14:15:56","Uluh","4.5","4.5","10003"
"KUW8hx5kinOT_XJj3ttCDQ","1069 1st Ave","Chinese","{""latitude"":{""N"":""40.75932""},""longitude"":{""N"":""-73.96254""}}","2021-10-12 14:26:54","Go Noodle Nine Moon","3.5","3.5","10022"
"A-ert0jDRBfku9ogyW_mEg","150 E 50th St","Chinese","{""latitude"":{""N"":""40.7558937072754""},""longitude"":{""N"":""-73.9715347290039""}}","2021-10-12 14:15:57","Spice Symphony","4.5","4.5","10022"
"nzqNfNXjtB6bxp-UN7xXkA","214 W 39th Street Retail 101","Chinese","{""latitude"":{""N"":""40.75432""},""longitude"":{""N"":""-73.989333""}}","2021-10-12 14:26:57","Bao Bao Cafe","4.5","4.5","10018"
"X4hEgOBOLTYFhlWO-gAFxQ","228 Thompson St","Chinese","{""latitude"":{""N"":""40.72929""},""longitude"":{""N"":""-73.99882""}}","2021-10-12 14:17:45","Tipsy Shanghai","4","4","10012"
"Sj2StOWkhHIPE6_sS5RMCQ","10 E 38th St","Chinese","{""latitude"":{""N"":""40.75041""},""longitude"":{""N"":""-73.98199""}}","2021-10-12 14:26:55","Evergreen On 38","3.5","3.5","10016"
"SyvC0s3y0ZrtnLbwnvw7tw","85 4th Ave","Chinese","{""latitude"":{""N"":""40.731338""},""longitude"":{""N"":""-73.990145""}}","2021-10-12 14:19:20","Tim Ho Wan","3.5","3.5","10003"
"dDXtga5Kgo5B1twdezcZJA","108 W 14th St","Chinese","{""latitude"":{""N"":""40.7377213477598""},""longitude"":{""N"":""-73.9974148512518""}}","2021-10-12 14:17:45","Auntie Guan's Kitchen 108","3.5","3.5","10011"
"wo7-TKh4B37RTBjPNtkp7w","166 15th St","Chinese","{""latitude"":{""N"":""40.7323552298113""},""longitude"":{""N"":""-74.039612951068""}}","2021-10-12 14:25:59","Chengdu1","3.5","3.5","07310"
"H87c1gVVCKneyI0LxaDFxQ","4405 Hunter St","Chinese","{""latitude"":{""N"":""40.7474918""},""longitude"":{""N"":""-73.9433018""}}","2021-10-12 14:26:56","Corgi Jianbing","5","5","11101"
"L9N9O2u_M9Daby9_myK4Yg","4059 High Line","Chinese","{""latitude"":{""N"":""40.7480714928872""},""longitude"":{""N"":""-74.004706248683""}}","2021-10-12 14:19:20","Mao’s Bao","3.5","3.5","10011"
"croh2zWlbPyCQTNS11klcg","258 W 44th St","Chinese","{""latitude"":{""N"":""40.7581711239604""},""longitude"":{""N"":""-73.9883149042726""}}","2021-10-12 14:17:45","China River 川聚院","4","4","10036"
"8cyRl5HIQzbkYD7orq223g","4720 Center Blvd","Chinese","{""latitude"":{""N"":""40.74599336793073""},""longitude"":{""N"":""-73.957094""}}","2021-10-12 14:25:57","SHI","3.5","3.5","11109"
"Bwj7nzWphGV6FaZ_ygTSOg","969 Amsterdam Ave","Chinese","{""latitude"":{""N"":""40.80133""},""longitude"":{""N"":""-73.96466""}}","2021-10-12 14:25:57","Happy Hot Hunan","3.5","3.5","10025"
"shwaY4v3fx9tjalvHVIBxQ","144 W 37th St","Chinese","{""latitude"":{""N"":""40.75246221952214""},""longitude"":{""N"":""-73.98871967056284""}}","2021-10-12 14:19:19","Tengri Tagh Uyghur Cuisine","4.5","4.5","10018"
"KSleHGTG1yL1E7OEFFPoNQ","58 E 8th St","Chinese","{""latitude"":{""N"":""40.73089""},""longitude"":{""N"":""-73.99343""}}","2021-10-12 14:16:04","LaoMa Spicy","4","4","10003"
"ptWTdgSzSpH-0LD24QIH-w","500 W 33rd St","Chinese","{""latitude"":{""N"":""40.753754""},""longitude"":{""N"":""-74.001388""}}","2021-10-12 14:26:55","Wild Ink","4","4","10001"
"sQw7aEos_0FmO0UFtrJokg","270 Bleeker St","Chinese","{""latitude"":{""N"":""40.73138""},""longitude"":{""N"":""-74.00319""}}","2021-10-12 14:15:57","Clay Pot - West Village","4.5","4.5","10014"
"6kCo3xb87Sc3Aa5ZSWzNnw","610 8th Ave","Chinese","{""latitude"":{""N"":""40.7555654203146""},""longitude"":{""N"":""-73.9907654374838""}}","2021-10-12 14:19:20","Kung Fu Kitchen","3.5","3.5","10018"
"PGeL1b4xNJggpZsHEGoxjg","121 Hudson St","Chinese","{""latitude"":{""N"":""40.7201045""},""longitude"":{""N"":""-74.0087721""}}","2021-10-12 14:26:56","Mr Chow","3","3","10013"
"ojbH3wnRu050hRhkmoxRiA","215 W 85th St","Chinese","{""latitude"":{""N"":""40.78752""},""longitude"":{""N"":""-73.97647""}}","2021-10-12 14:15:56","Han Dynasty","4","4","10024"
"sBCJYLPNJuagg-aJ3Y_ozQ","19 St Marks Pl","Chinese","{""latitude"":{""N"":""40.72925""},""longitude"":{""N"":""-73.9886""}}","2021-10-12 14:19:19","Cheli","4","4","10003"
"wDuf4Qz9qsC62amLZgWNJQ","550 3rd Ave","Chinese","{""latitude"":{""N"":""40.74744""},""longitude"":{""N"":""-73.97728""}}","2021-10-12 14:15:56","Little Alley","4","4","10016"
"ynIx549QFj29o84y1RSGyw","61 Lexington Ave","Chinese","{""latitude"":{""N"":""40.740829""},""longitude"":{""N"":""-73.983474""}}","2021-10-12 14:19:19","Bao Bao Cafe","4","4","10010"
