"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"VuR3lhMA80aH42jrBM_C8A","308 Bowery","French","{""latitude"":{""N"":""40.7249172""},""longitude"":{""N"":""-73.9925423""}}","2021-10-12 15:13:30","Duane Park","4.5","4.5","10012"
"csVEpHy5KJoFvM1qp5XwLQ","163 East 33rd St","French","{""latitude"":{""N"":""40.7454079308793""},""longitude"":{""N"":""-73.9791478306885""}}","2021-10-12 15:08:51","Le Parisien","4","4","10016"
"DEHWHskp2gSAkfdylc4SNA","2269 Adam Clayton Powell Jr Blvd","French","{""latitude"":{""N"":""40.8142691169743""},""longitude"":{""N"":""-73.9441050339131""}}","2021-10-12 15:13:30","Yatenga French Bistro & Bar","4","4","10030"
"6ujYWjs1FTksvuVxuzjUYA","12 E 22nd St","French","{""latitude"":{""N"":""40.7400817871094""},""longitude"":{""N"":""-73.9887542724609""}}","2021-10-12 15:13:29","Almond","3.5","3.5","10010"
"Okbtt-ISFB3kuoxkl2wVgg","151 E 82nd St","French","{""latitude"":{""N"":""40.77682""},""longitude"":{""N"":""-73.95698""}}","2021-10-12 15:11:30","The Simone","5","5","10028"
"bQPU31GkNo3TkPnq7iSngg","948 1st Ave","French","{""latitude"":{""N"":""40.75523""},""longitude"":{""N"":""-73.965164""}}","2021-10-12 15:08:57","Jubilee","4","4","10022"
"eL1ojVz0QYCZ7xJOii46LQ","127 E 7th St","French","{""latitude"":{""N"":""40.726467""},""longitude"":{""N"":""-73.9839901""}}","2021-10-12 15:11:24","Papilles","4.5","4.5","10009"
"Knbn0h4MA1KX5Fv3eZfK4w","201 W 79th St","French","{""latitude"":{""N"":""40.78337""},""longitude"":{""N"":""-73.97847""}}","2021-10-12 15:12:23","Nice Matin","3.5","3.5","10024"
"s3jou_L_LVYGkNHiuhjlew","99 7th Ave S","French","{""latitude"":{""N"":""40.733063""},""longitude"":{""N"":""-74.0028772""}}","2021-10-12 15:08:51","Boucherie West Village","4.5","4.5","10014"
"C2o3Iw-DXjoUJFgQIbiqkQ","222 Lafayette St","French","{""latitude"":{""N"":""40.722062""},""longitude"":{""N"":""-73.997587""}}","2021-10-12 15:13:30","BoCaphe","4","4","10012"
"cTE0e96GYzet799EJeStoQ","149 W 14th St","French","{""latitude"":{""N"":""40.7384""},""longitude"":{""N"":""-73.99892""}}","2021-10-12 15:13:30","Chama Mama","4.5","4.5","10011"
"Rmm6fu7kejcnMoSlVLyl3w","120 W 41st St","French","{""latitude"":{""N"":""40.7543759""},""longitude"":{""N"":""-73.98563""}}","2021-10-12 15:13:29","Ortzi NYC","4","4","10036"
"XDMtYVpUQag-uay9DHMm9A","1578 1st Ave","French","{""latitude"":{""N"":""40.77433249323621""},""longitude"":{""N"":""-73.9509927699736""}}","2021-10-12 15:12:24","Quatorze Bis","4","4","10028"
"fAPkN79fe7Gjq7A6fj6s9Q","75-57 31st Ave","French","{""latitude"":{""N"":""40.7587335""},""longitude"":{""N"":""-73.8920429""}}","2021-10-12 15:08:56","Bistro Eloise","4.5","4.5","11370"
"0Q3xCYWK2N-wJfXjLa9dFg","239 West Broadway","French","{""latitude"":{""N"":""40.71958""},""longitude"":{""N"":""-74.00581""}}","2021-10-12 15:12:23","Bâtard","4","4","10013"
"bOHWY14f1u8rR1t2ggmbYw","240 E 75th St","French","{""latitude"":{""N"":""40.7709199""},""longitude"":{""N"":""-73.95759""}}","2021-10-12 15:13:29","B Cafe East","4","4","10021"
"H_KyiRhwho8rdlw_R93_0Q","240 Central Park S","French","{""latitude"":{""N"":""40.7674213694566""},""longitude"":{""N"":""-73.9810554368179""}}","2021-10-12 15:13:30","Marea","4","4","10019"
"wDLHOgux_G8Y82Y6D9rSog","178 Prince St","French","{""latitude"":{""N"":""40.72612""},""longitude"":{""N"":""-74.002068""}}","2021-10-12 15:12:24","Maison Sun","4.5","4.5","10012"
"MOwB9YYd-Ko6nVgSB-ltQw","370 W 51st St","French","{""latitude"":{""N"":""40.7637997047278""},""longitude"":{""N"":""-73.9880919456482""}}","2021-10-12 15:12:24","Briciola","4","4","10019"
"lw4ZMgn-QBh_5W1ipNHjaw","29 E 61st St","French","{""latitude"":{""N"":""40.7648""},""longitude"":{""N"":""-73.9699213""}}","2021-10-12 15:12:23","La Goulue","3.5","3.5","10065"
"M85t-iOAbMpO9mVIKAgwMw","157 Suydam St","French","{""latitude"":{""N"":""40.6993863968861""},""longitude"":{""N"":""-73.9265948743181""}}","2021-10-12 15:14:27","Le Garage","4","4","11221"
"k4ds_s6y8S46WzVIolypLQ","1268 2nd Ave","French","{""latitude"":{""N"":""40.7652988""},""longitude"":{""N"":""-73.9609017""}}","2021-10-12 15:13:30","Serena's Wine Bar","4","4","10065"
"npiIhpcWePbVT3JYEcy3zg","20 Spring St","French","{""latitude"":{""N"":""40.7213813139202""},""longitude"":{""N"":""-73.9950757664721""}}","2021-10-12 15:11:24","Wayan","4","4","10012"
"RdjykuwofIdvPTwohJeulw","12 W 48th St","French","{""latitude"":{""N"":""40.75754502006123""},""longitude"":{""N"":""-73.9791089""}}","2021-10-12 15:08:51","Maman Rockefeller","4.5","4.5","10036"
"8nXo6lNJlXQQIdy8Kf7J9Q","349 Amsterdam Ave","French","{""latitude"":{""N"":""40.7814059""},""longitude"":{""N"":""-73.97918""}}","2021-10-12 15:12:24","Tessa","4","4","10024"
"RQojRzAYA9Cq87PqwQq5yg","356 E 51st St","French","{""latitude"":{""N"":""40.7544765""},""longitude"":{""N"":""-73.9660238""}}","2021-10-12 15:08:51","Deux Amis","4","4","10022"
"xtfKAP7X36CCZrJm_Ta6Cg","519 Columbus Ave","French","{""latitude"":{""N"":""40.78586""},""longitude"":{""N"":""-73.97242""}}","2021-10-12 15:11:30","The Consulate","4","4","10024"
"XBWO26QblInZGftnSDD94A","211 W Broadway","French","{""latitude"":{""N"":""40.7188969""},""longitude"":{""N"":""-74.0062207""}}","2021-10-12 15:13:37","Maman Tribeca","4","4","10013"
"kMljfja7weqfl_lzspjzHA","284 W 12th St","French","{""latitude"":{""N"":""40.737385""},""longitude"":{""N"":""-74.003966""}}","2021-10-12 15:12:24","Cafe Cluny","4","4","10014"
"QvQilClGyuKFz08TBsoJNA","225 Liberty St","French","{""latitude"":{""N"":""40.7126473617984""},""longitude"":{""N"":""-74.0157784596443""}}","2021-10-12 15:13:30","Le District","3.5","3.5","10281"
"I6optu9x0JAf8oT5lqJ8qw","308 W 50th St","French","{""latitude"":{""N"":""40.76244""},""longitude"":{""N"":""-73.98674""}}","2021-10-12 15:13:28","The Blue Dog Cookhouse & Bar","4","4","10019"
"Ps0cOZevNA1M9M5_z7W3oQ","170 Waverly Pl","French","{""latitude"":{""N"":""40.7336021670705""},""longitude"":{""N"":""-74.001675412843""}}","2021-10-12 15:12:24","Joseph Leonard","4","4","10014"
"EF4M55USa1ZNy1rP5Kuk2w","135 Atlantic Ave","French","{""latitude"":{""N"":""40.6907305802403""},""longitude"":{""N"":""-73.99551244328""}}","2021-10-12 15:12:23","Chez Moi","4","4","11201"
"5IGFJRN06HiclnivxaFThQ","718 2nd Ave","French","{""latitude"":{""N"":""40.74754""},""longitude"":{""N"":""-73.9735""}}","2021-10-12 15:14:26","El Pote Español Restaurant","4","4","10016"
"1A3m0-dOhF2PKRU_8S2YYQ","626 10th Ave","French","{""latitude"":{""N"":""40.76108""},""longitude"":{""N"":""-73.99419""}}","2021-10-12 15:08:59","Le Prive","4.5","4.5","10036"
"ndd1BQLqFINytM4kbkCjgQ","515 W 52nd St","French","{""latitude"":{""N"":""40.7663868""},""longitude"":{""N"":""-73.9915846""}}","2021-10-12 15:08:55","La Bergamote","4","4","10019"
"8ucQ3A7f6h9_PkKStYBkQA","581 Vanderbilt Ave","French","{""latitude"":{""N"":""40.680311""},""longitude"":{""N"":""-73.967596""}}","2021-10-12 15:13:37","LaLou","4","4","11238"
"HUEj_yVB1E2mNNxW5PqUtQ","405 East 58th St","French","{""latitude"":{""N"":""40.7588875""},""longitude"":{""N"":""-73.961963""}}","2021-10-12 15:08:56","Bistro Vendome","4","4","10022"
"A8zppFZvBDGUKRSUrzJWMg","414 W 42nd St","French","{""latitude"":{""N"":""40.758502""},""longitude"":{""N"":""-73.993413""}}","2021-10-12 15:09:00","Chez Josephine","3.5","3.5","10036"
"ETgJqJHV7BW6pIr9Ox74sA","22 W 8th St","French","{""latitude"":{""N"":""40.7327""},""longitude"":{""N"":""-73.99766""}}","2021-10-12 15:08:51","Amélie","4.5","4.5","10011"
"tmzWZtu9Nimn7Hfas9XmcA","120 W 55th St","French","{""latitude"":{""N"":""40.76306""},""longitude"":{""N"":""-73.9786""}}","2021-10-12 15:11:24","Quality Bistro","4.5","4.5","10019"
"e4YHihk1HFJ1EB7oD7dKDw","853 Lexington Ave","French","{""latitude"":{""N"":""40.765595""},""longitude"":{""N"":""-73.965433""}}","2021-10-12 15:14:26","Sel et Poivre","3.5","3.5","10065"
"uby3glEc0Brt9LAoCI0WTg","249 Park Ave S","French","{""latitude"":{""N"":""40.738162056865""},""longitude"":{""N"":""-73.987657""}}","2021-10-12 15:11:30","L’Express","3.5","3.5","10003"
"3V20VbC45XL4TBYTL9DrOg","110 St Marks Pl","French","{""latitude"":{""N"":""40.7269310030458""},""longitude"":{""N"":""-73.9843428879976""}}","2021-10-12 15:13:29","David's Cafe","4","4","10009"
"m9zYRZFubncaWsQFIfNo5g","176 8th Ave","French","{""latitude"":{""N"":""40.74268299733855""},""longitude"":{""N"":""-74.00017913437422""}}","2021-10-12 15:14:26","Loulou Petit Bistro & Speakeasy","4","4","10011"
"YE4pvo8ectzEaRYGqUgFcA","1166 1st Ave","French","{""latitude"":{""N"":""40.76256""},""longitude"":{""N"":""-73.9596""}}","2021-10-12 15:14:27","Felice 64","4","4","10065"
"oyxtaqfFZkP_vC0M6GfkbA","365 W 50th St","French","{""latitude"":{""N"":""40.76346""},""longitude"":{""N"":""-73.9883""}}","2021-10-12 15:11:25","Chez Napoleon","4","4","10019"
"V69n3YrAs59GenGB2jLVrA","1057 Lexington Ave","French","{""latitude"":{""N"":""40.772384""},""longitude"":{""N"":""-73.960433""}}","2021-10-12 15:11:30","Orsay","3.5","3.5","10021"
"4XX-zF8h5Lvrr22_tqU6-Q","1 Water St","French","{""latitude"":{""N"":""40.70318""},""longitude"":{""N"":""-73.9946499""}}","2021-10-12 15:13:30","The River Café","4","4","11201"
"0Q13lJ3OHXOuBVpN6jeTjw","253 W 11th St","French","{""latitude"":{""N"":""40.7362899""},""longitude"":{""N"":""-74.00344""}}","2021-10-12 15:09:01","Tartine","4","4","10014"
"Bx9ufqCtxxdl2l6pT3J45g","911 7th Ave","French","{""latitude"":{""N"":""40.7658521957585""},""longitude"":{""N"":""-73.979433064085""}}","2021-10-12 15:13:29","Petrossian Boutique & Cafe","4","4","10019"
