"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"xbrQ2dHuQoFJmNxAuOky4A","31 Great Jones St","Italian","{""latitude"":{""N"":""40.72693""},""longitude"":{""N"":""-73.99319""}}","2021-10-12 15:30:48","Vic's","4","4","10012"
"ktMtLr8mp4K7IGxUgCTs6Q","635 9th Ave","Italian","{""latitude"":{""N"":""40.76021745303923""},""longitude"":{""N"":""-73.99156281784906""}}","2021-10-12 15:30:48","Bocca di Bacco","5","5","10036"
"fyC2cBsQ0FsMJmv0jSworg","1304 2nd Ave","Italian","{""latitude"":{""N"":""40.76652""},""longitude"":{""N"":""-73.9598""}}","2021-10-12 15:30:13","Donna Margherita","4.5","4.5","10065"
"TsYrzVVtkKO4Asrk_L9stw","235 Columbus Ave","Italian","{""latitude"":{""N"":""40.7764333""},""longitude"":{""N"":""-73.9794019""}}","2021-10-12 15:30:48","Parm","3.5","3.5","10023"
"h37t9rA06Sr4EetJjKrfzw","103 Greenwich Ave","Italian","{""latitude"":{""N"":""40.73778""},""longitude"":{""N"":""-74.00197""}}","2021-10-12 15:28:42","Don Angie","4.5","4.5","10014"
"kIm0oeOaVfC9-2flLPVklA","462-466 2nd Ave","Italian","{""latitude"":{""N"":""40.7398415""},""longitude"":{""N"":""-73.9792862""}}","2021-10-12 15:30:14","Patrizia's Pizza and Pasta","4","4","10016"
"fuS39acPaRi38DhSSwEI4Q","15 Gold St","Italian","{""latitude"":{""N"":""40.70789""},""longitude"":{""N"":""-74.00712""}}","2021-10-12 15:30:47","Felice","4","4","10038"
"zo4JHfD2nWPUiqgsgDOaHQ","455 E 114th St","Italian","{""latitude"":{""N"":""40.79392""},""longitude"":{""N"":""-73.93427""}}","2021-10-12 15:29:43","Rao's","4.5","4.5","10029"
"CFR-HzVHKWRMpMAR3LAhzg","432 Union Ave","Italian","{""latitude"":{""N"":""40.71338""},""longitude"":{""N"":""-73.95136""}}","2021-10-12 15:28:41","Montesacro Pinseria Brooklyn","4.5","4.5","11211"
"o5mMVFk4Hcpk2FuKfgTgdg","753 Washington St","Italian","{""latitude"":{""N"":""40.73687""},""longitude"":{""N"":""-74.00812""}}","2021-10-12 15:30:13","Malaparte","4","4","10014"
"jnHbdsqlTKlPcmJ8BCP9-g","51 Grove St","Italian","{""latitude"":{""N"":""40.733148231901204""},""longitude"":{""N"":""-74.00366777251583""}}","2021-10-12 15:29:43","Via Carota","4","4","10014"
"6eqrk1wCQMww_ejze5gvsg","9 Stanton St","Italian","{""latitude"":{""N"":""40.7225353""},""longitude"":{""N"":""-73.992492""}}","2021-10-12 15:28:41","Forsythia","4.5","4.5","10002"
"a0IET3_yCFcO36OqGSsisg","200 5th Ave","Italian","{""latitude"":{""N"":""40.74195877796""},""longitude"":{""N"":""-73.989716662832""}}","2021-10-12 15:29:43","Eataly Flatiron","4","4","10010"
"32VbG_XgkZIuye0PV-BxaA","15 W 21st St","Italian","{""latitude"":{""N"":""40.7407551035259""},""longitude"":{""N"":""-73.9914887388588""}}","2021-10-12 15:30:13","Zero Otto Nove","4","4","10010"
"H_KyiRhwho8rdlw_R93_0Q","240 Central Park S","Italian","{""latitude"":{""N"":""40.7674213694566""},""longitude"":{""N"":""-73.9810554368179""}}","2021-10-12 15:30:13","Marea","4","4","10019"
"mTWlEiCUEBlxBAkIikkB1A","2450 Broadway","Italian","{""latitude"":{""N"":""40.791077""},""longitude"":{""N"":""-73.973763""}}","2021-10-12 15:28:42","Carmine's Italian Restaurant - Upper West Side","4","4","10024"
"MOwB9YYd-Ko6nVgSB-ltQw","370 W 51st St","Italian","{""latitude"":{""N"":""40.7637997047278""},""longitude"":{""N"":""-73.9880919456482""}}","2021-10-12 15:28:41","Briciola","4","4","10019"
"5EQOEAkH2Qh3Rv1TcnE7yA","114 Christopher St","Italian","{""latitude"":{""N"":""40.73316""},""longitude"":{""N"":""-74.00537""}}","2021-10-12 15:30:14","Fiaschetteria Pistoia","4","4","10014"
"MdFV5IBcX-Ni6I4Zy1EqIw","1018 Amsterdam Ave","Italian","{""latitude"":{""N"":""40.8028109023738""},""longitude"":{""N"":""-73.9641991912535""}}","2021-10-12 15:31:15","Marlow Bistro","4","4","10025"
"WEhkGLKlj-5X1pq_07Syaw","21-02 30th Ave","Italian","{""latitude"":{""N"":""40.76961""},""longitude"":{""N"":""-73.92776""}}","2021-10-12 15:31:15","Vesta","4","4","11102"
"0axnkZlDiQcJVc06DDXxGQ","501 W 51st St","Italian","{""latitude"":{""N"":""40.7654289685161""},""longitude"":{""N"":""-73.9914178848267""}}","2021-10-12 15:29:44","Ristorante Il Melograno","4","4","10019"
"O5S9rhY63YPGiQeUcn7PKA","43 W 27th St","Italian","{""latitude"":{""N"":""40.74519""},""longitude"":{""N"":""-73.98985""}}","2021-10-12 15:30:48","Cardoncello DiVino","4.5","4.5","10001"
"yQ7K4uFnxXxpBVbnOSR8kA","71 West 71st St","Italian","{""latitude"":{""N"":""40.77668""},""longitude"":{""N"":""-73.97888""}}","2021-10-12 15:29:43","Polpette 71","4","4","10023"
"E2zKMwHhz4--dyplQ7gf8A","316 Columbus Ave","Italian","{""latitude"":{""N"":""40.7792833""},""longitude"":{""N"":""-73.9776967""}}","2021-10-12 15:30:48","Pappardella","3.5","3.5","10023"
"8nXo6lNJlXQQIdy8Kf7J9Q","349 Amsterdam Ave","Italian","{""latitude"":{""N"":""40.7814059""},""longitude"":{""N"":""-73.97918""}}","2021-10-12 15:31:16","Tessa","4","4","10024"
"qBGKigOGn_flCx1apxPzlA","196 Spring St","Italian","{""latitude"":{""N"":""40.72506""},""longitude"":{""N"":""-74.00322""}}","2021-10-12 15:28:41","Piccola Cucina Osteria","4.5","4.5","10012"
"B0qxEXABa8-t9sY4NQRRsQ","1600 Amsterdam Ave","Italian","{""latitude"":{""N"":""40.821427""},""longitude"":{""N"":""-73.950638""}}","2021-10-12 15:30:48","Fumo Pizza-Bar-Pasta","4","4","10031"
"1AL6P_EC6Z3UPxqhfGFb3Q","180 7th Ave","Italian","{""latitude"":{""N"":""40.7427486""},""longitude"":{""N"":""-73.9969892""}}","2021-10-12 15:31:15","Pasta by Hudson","4.5","4.5","10011"
"vVVmHacu2YAxKfpIjhfd1g","438 3rd Ave","Italian","{""latitude"":{""N"":""40.743553""},""longitude"":{""N"":""-73.980026""}}","2021-10-12 15:28:41","Norma","4.5","4.5","10016"
"hVqZ4vihjL1gFTD-KdX-Tw","665 Amsterdam Ave","Italian","{""latitude"":{""N"":""40.79178""},""longitude"":{""N"":""-73.9718""}}","2021-10-12 15:30:48","Gennaro","4","4","10025"
"xrTwutv3Y5I4lySFOaKa2A","474 9th Ave","Italian","{""latitude"":{""N"":""40.754825""},""longitude"":{""N"":""-73.994862""}}","2021-10-12 15:31:15","Longo Bros","4","4","10018"
"QUTSHrHw3qRZjf749VM1Yg","38 E 58th St","Italian","{""latitude"":{""N"":""40.76273""},""longitude"":{""N"":""-73.97155""}}","2021-10-12 15:29:44","Serafina Osteria","3.5","3.5","10022"
"Q1_UvNyONsaVS_VC1mD9Dw","513 Columbus Ave","Italian","{""latitude"":{""N"":""40.78554""},""longitude"":{""N"":""-73.97263""}}","2021-10-12 15:28:41","Osteria Cotta","4","4","10024"
"9xZe8DclrBpofeM0dd6Z6A","496 9th Ave","Italian","{""latitude"":{""N"":""40.75562""},""longitude"":{""N"":""-73.99445""}}","2021-10-12 15:30:12","Tavolino","4.5","4.5","10018"
