"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"rpTW8Ozm8q8kN5RWOYSvFA","5-29 46th Ave","Mexican","{""latitude"":{""N"":""40.7475815""},""longitude"":{""N"":""-73.9542618""}}","2021-10-12 14:43:57","Oaxaca Taco De Revolucion","2.5","2.5","11101"
"uVfOB37NyYEGRs5FITM-nQ","221 Smith St","Mexican","{""latitude"":{""N"":""40.68431""},""longitude"":{""N"":""-73.99197""}}","2021-10-12 14:39:56","Leyenda","4","4","11201"
"PqqnNrUtU7XTKQvUM4cyqQ","65 2nd Ave","Mexican","{""latitude"":{""N"":""40.7260849061034""},""longitude"":{""N"":""-73.9897361397743""}}","2021-10-12 14:39:56","Bar Verde","4.5","4.5","10003"
"FkA9aoMhWO4XKFMTuTnl4Q","372 Lafayette St","Mexican","{""latitude"":{""N"":""40.7271874""},""longitude"":{""N"":""-73.9938924""}}","2021-10-12 14:45:05","Atla","3.5","3.5","10012"
"10tnq8x2qI7ix7VqVP0rMw","377 Amsterdam Ave","Mexican","{""latitude"":{""N"":""40.78251""},""longitude"":{""N"":""-73.97856""}}","2021-10-12 14:41:13","Tacombi - Upper West Side","3.5","3.5","10024"
"hcI6TVxFyVNEPXg3rF1bQw","405 W 44th St","Mexican","{""latitude"":{""N"":""40.7601356506348""},""longitude"":{""N"":""-73.992057800293""}}","2021-10-12 14:42:46","Oaxaca Taqueria","3.5","3.5","10036"
"HKBJGt04_ZSdiIWA_6J8kQ","94 University Pl","Mexican","{""latitude"":{""N"":""40.73387""},""longitude"":{""N"":""-73.9930481239834""}}","2021-10-12 14:43:58","Tortaria","3.5","3.5","10003"
"ub2VfE7SRLJABAClzGZp3A","30 W 24th St","Mexican","{""latitude"":{""N"":""40.742807""},""longitude"":{""N"":""-73.991138""}}","2021-10-12 14:39:55","Tacombi - Flatiron","4","4","10010"
"b_x0NR7xLq_llrXOEo-nhg","213 6th Ave","Mexican","{""latitude"":{""N"":""40.72753170815836""},""longitude"":{""N"":""-74.00341609999953""}}","2021-10-12 14:43:57","Mitla New York City","4.5","4.5","10014"
"3vBVnzsJLRh8WtW3awKxeQ","573 Columbus Ave","Mexican","{""latitude"":{""N"":""40.7875358759796""},""longitude"":{""N"":""-73.9711353555322""}}","2021-10-12 14:43:59","Bodega 88","4.5","4.5","10024"
"mhrLDFTxUzW2koRAzjlt5g","736 Franklin Ave","Mexican","{""latitude"":{""N"":""40.673484""},""longitude"":{""N"":""-73.957267""}}","2021-10-12 14:41:12","Chavela's","4","4","11238"
"J9pgjC191T-odCmTAG-grQ","60 E 3rd St","Mexican","{""latitude"":{""N"":""40.72504""},""longitude"":{""N"":""-73.98917""}}","2021-10-12 14:44:00","El Diablito Taqueria","4","4","10003"
"'-a5EfIQzUrb1pnMQpsvslw","8809 River Rd","Mexican","{""latitude"":{""N"":""40.80402""},""longitude"":{""N"":""-73.99376""}}","2021-10-12 14:45:08","Lolitas Mexican Cantina- North Bergen","3.5","3.5","07047"
"3DNtS1_3gobrYQBAwDx4DA","645 Manhattan Ave","Mexican","{""latitude"":{""N"":""40.72416""},""longitude"":{""N"":""-73.95132""}}","2021-10-12 14:45:04","Calexico - Greenpoint","3.5","3.5","11222"
"ry7XCoXXxS0DxRmzZLFybw","218 3rd Ave","Mexican","{""latitude"":{""N"":""40.7363""},""longitude"":{""N"":""-73.98531""}}","2021-10-12 14:41:11","Taqueria Gramercy","4","4","10003"
"SOWmvC20kikJBoWE3TmppA","251 E 52nd St 2nd Ave","Mexican","{""latitude"":{""N"":""40.7563131""},""longitude"":{""N"":""-73.9677219""}}","2021-10-12 14:41:12","Rosa Mexicano","2","2","10022"
"Q10FeFs1mtNchv1NbNcsLg","152 E 33rd St","Mexican","{""latitude"":{""N"":""40.7453117370605""},""longitude"":{""N"":""-73.9795227050781""}}","2021-10-12 14:42:45","Oaxaca Taqueria","3.5","3.5","10016"
"VzdToJAHuLY07TlXZTdIwA","346 W 46th St","Mexican","{""latitude"":{""N"":""40.76034""},""longitude"":{""N"":""-73.989743""}}","2021-10-12 14:41:15","Tito Murphy's","4","4","10036"
"4UxmxAqehEIh7fYrzUEA7A","244 E 53rd St","Mexican","{""latitude"":{""N"":""40.7568200311153""},""longitude"":{""N"":""-73.9678929001093""}}","2021-10-12 14:39:55","Tacovision","4","4","10004"
"'-SYHh9DWvYuBZxkA4gfzHg","234 Starr St","Mexican","{""latitude"":{""N"":""40.7055429619569""},""longitude"":{""N"":""-73.9225539192783""}}","2021-10-12 14:41:16","Calabrije's Margaritas & Tacos","4","4","11237"
"jB5fXguSmlX65asSB3KIfQ","974 Blvd E","Mexican","{""latitude"":{""N"":""40.77707""},""longitude"":{""N"":""-74.0136""}}","2021-10-12 14:39:56","Charrito's Restaurant","3","3","07086"
"5Ota_iMwlPLPrap-KfQrgw","113 Greenwich Ave","Mexican","{""latitude"":{""N"":""40.7380740387279""},""longitude"":{""N"":""-74.002123778491""}}","2021-10-12 14:45:05","Benny's Burritos","3.5","3.5","10014"
"WZynqsGjqQLc_T8R80_-7g","102 3rd Ave","Mexican","{""latitude"":{""N"":""40.732575""},""longitude"":{""N"":""-73.98806909999999""}}","2021-10-12 14:39:56","Yellow Rose","4.5","4.5","10003"
"iPc-zPgcpgeSo76xl5Jbpw","32 W 32nd St","Mexican","{""latitude"":{""N"":""40.747846""},""longitude"":{""N"":""-73.9872499""}}","2021-10-12 14:39:55","The Maze","4","4","10001"
"1HPdyg0OLRkjHeixVmbu0Q","40 W 38th St","Mexican","{""latitude"":{""N"":""40.7515296936035""},""longitude"":{""N"":""-73.9846572875977""}}","2021-10-12 14:43:57","Cocina Del Sur","4","4","10018"
"7bD22UAtH56ikWYslOSIQg","1491 2nd Ave","Mexican","{""latitude"":{""N"":""40.77259""},""longitude"":{""N"":""-73.95588""}}","2021-10-12 14:39:54","Calexico - Upper East Side","4","4","10075"
"vyKBwzRdNX4yiJDIFv37iw","128 Greenpoint Ave","Mexican","{""latitude"":{""N"":""40.7299099""},""longitude"":{""N"":""-73.95548""}}","2021-10-12 14:39:55","Oxomoco","4","4","11222"
"B6bEkY9sJ_GU2pD2Rwb4gg","208 Columbus Ave","Mexican","{""latitude"":{""N"":""40.77578""},""longitude"":{""N"":""-73.98021""}}","2021-10-12 14:39:56","El Mitote","3.5","3.5","10023"
"xGoSAOhQBNdJMJmPn7CMDQ","1440 Broadway","Mexican","{""latitude"":{""N"":""40.754109""},""longitude"":{""N"":""-73.986015""}}","2021-10-12 14:39:55","Mexicue","4","4","10018"
